"BUDGET_YEAR","BUDGET_MONTH","GROUP_ID_MAIN_DESC","CASE_AMT","TREASURY_AMT","UPDATE_DATE"
"2563","มกราคม","ผลิตภัณฑ์เครื่องหอมและเครื่องสำอาง","152888","91732.8","2566-09-05"
"2564","มกราคม","ผลิตภัณฑ์เครื่องหอมและเครื่องสำอาง","224510.92","134706.54","2566-09-05"
"2565","มกราคม","ผลิตภัณฑ์เครื่องหอมและเครื่องสำอาง","759803.8","455882.28","2566-09-05"
"2566","มกราคม","ผลิตภัณฑ์เครื่องหอมและเครื่องสำอาง","430468.8","258281.32","2566-09-05"
"2565","มกราคม","พรมและสิ่งทอปูพื้น","0","0","2566-09-05"
"2566","มกราคม","พรมและสิ่งทอปูพื้น","0","0","2566-09-05"
"2563","มกราคม","ยาสูบ","21061305.68","12637455.66","2566-09-05"
"2564","มกราคม","ยาสูบ","17095519.07","10258711.69","2566-09-05"
"2565","มกราคม","ยาสูบ","19909098.27","11951183.17","2566-09-05"
"2566","มกราคม","ยาสูบ","22970451.03","13810167.92","2566-09-05"
"2563","มกราคม","รถจักรยานยนต์","1710617.6","1026370.56","2566-09-05"
"2564","มกราคม","รถจักรยานยนต์","4029317.6","2417590.56","2566-09-05"
"2565","มกราคม","รถจักรยานยนต์","2533185.27","1521111.17","2566-09-05"
"2566","มกราคม","รถจักรยานยนต์","2311041.5","1386624.9","2566-09-05"
"2563","มกราคม","รถยนต์","1383557.15","838134.29","2566-09-05"
"2564","มกราคม","รถยนต์","1593446.24","956067.74","2566-09-05"
"2565","มกราคม","รถยนต์","3226040.54","1935624.34","2566-09-05"
"2566","มกราคม","รถยนต์","1852124.92","1111274.96","2566-09-05"
"2563","มกราคม","สถานอาบน้ำหรืออบตัวและนวด","12000","10000","2566-09-05"
"2565","มกราคม","สถานอาบน้ำหรืออบตัวและนวด","4000","3200","2566-09-05"
"2566","มกราคม","สถานอาบน้ำหรืออบตัวและนวด","0","0","2566-09-05"
"2564","มกราคม","สนามกอล์ฟ","2000","2000","2566-09-05"
"2565","มกราคม","สนามกอล์ฟ","4000","4000","2566-09-05"
"2566","มกราคม","สนามกอล์ฟ","10000","10000","2566-09-05"
